,L8_X1,L8_X1,L8_X2,L8_X2,L8_X3,L8_X3,L8_X4,L8_X4,L10_X1,L10_X1,L10_X2,L10_X2,L10_X3,L10_X3,L10_X4,L10_X4,L12_X1,L12_X1,L12_X2,L12_X2,L12_X3,L12_X3,L12_X4,L12_X4,L14_X1,L14_X1,L14_X2,L14_X2,L14_X3,L14_X3,L14_X4,L14_X4,L16_X1,L16_X1,L16_X2,L16_X2,L16_X3,L16_X3,L16_X4,L16_X4,L18_X1,L18_X1,L18_X2,L18_X2,L18_X3,L18_X3,L18_X4,L18_X4,L20_X1,L20_X1,L20_X2,L20_X2,L20_X3,L20_X3,L20_X4,L20_X4,L22_X1,L22_X1,L22_X2,L22_X2,L22_X3,L22_X3,L22_X4,L22_X4,L24_X1,L24_X1,L24_X2,L24_X2,L24_X3,L24_X3,L24_X4,L24_X4,L26_X1,L26_X1,L26_X2,L26_X2,L26_X3,L26_X3,L26_X4,L26_X4
,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30,"XLU,XLP,XLV","XLC,XLY,XLB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-07,"XLU,XLP,XLV","XLC,XLY,XLB","XLU,XLP,XLV","XLC,XLY,XLB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-14,"XLV,XLP,XLU","XLC,XLE,XLY","XLU,XLP,XLV","XLC,XLY,XLB","XLU,XLP,XLV","XLC,XLY,XLB",,,"XLU,XLV,XLP","XLC,XLE,XLB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-21,"XLU,XLV,XLP","XLC,XLY,XLK","XLV,XLP,XLU","XLC,XLE,XLY","XLU,XLP,XLV","XLC,XLY,XLB","XLU,XLP,XLV","XLC,XLY,XLB","XLU,XLV,XLP","XLC,XLY,XLB","XLU,XLV,XLP","XLC,XLE,XLB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-28,"XLI,XLV,XLU","XLC,XLK,XLP","XLU,XLV,XLP","XLC,XLY,XLK","XLV,XLP,XLU","XLC,XLE,XLY","XLU,XLP,XLV","XLC,XLY,XLB","XLU,XLP,XLV","XLY,XLE,XLC","XLU,XLV,XLP","XLC,XLY,XLB","XLU,XLV,XLP","XLC,XLE,XLB",,,"XLU,XLRE,XLV","XLY,XLC,XLB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,"XLU,XLV,XLB","XLC,XLK,XLP","XLI,XLV,XLU","XLC,XLK,XLP","XLU,XLV,XLP","XLC,XLY,XLK","XLV,XLP,XLU","XLC,XLE,XLY","XLU,XLI,XLF","XLC,XLY,XLK","XLU,XLP,XLV","XLY,XLE,XLC","XLU,XLV,XLP","XLC,XLY,XLB","XLU,XLV,XLP","XLC,XLE,XLB","XLU,XLV,XLP","XLC,XLY,XLK","XLU,XLRE,XLV","XLY,XLC,XLB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-11,"XLU,XLV,XLRE","XLC,XLK,XLE","XLU,XLV,XLB","XLC,XLK,XLP","XLI,XLV,XLU","XLC,XLK,XLP","XLU,XLV,XLP","XLC,XLY,XLK","XLV,XLI,XLU","XLC,XLP,XLK","XLU,XLI,XLF","XLC,XLY,XLK","XLU,XLP,XLV","XLY,XLE,XLC","XLU,XLV,XLP","XLC,XLY,XLB","XLU,XLV,XLP","XLC,XLY,XLE","XLU,XLV,XLP","XLC,XLY,XLK","XLU,XLRE,XLV","XLY,XLC,XLB",,,"XLU,XLV,XLRE","XLC,XLY,XLB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-18,"XLU,XLB,XLV","XLE,XLC,XLY","XLU,XLV,XLRE","XLC,XLK,XLE","XLU,XLV,XLB","XLC,XLK,XLP","XLI,XLV,XLU","XLC,XLK,XLP","XLU,XLV,XLB","XLK,XLC,XLE","XLV,XLI,XLU","XLC,XLP,XLK","XLU,XLI,XLF","XLC,XLY,XLK","XLU,XLP,XLV","XLY,XLE,XLC","XLU,XLB,XLI","XLY,XLC,XLK","XLU,XLV,XLP","XLC,XLY,XLE","XLU,XLV,XLP","XLC,XLY,XLK","XLU,XLRE,XLV","XLY,XLC,XLB","XLU,XLV,XLP","XLY,XLC,XLK","XLU,XLV,XLRE","XLC,XLY,XLB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-25,"XLU,XLI,XLF","XLE,XLC,XLRE","XLU,XLB,XLV","XLE,XLC,XLY","XLU,XLV,XLRE","XLC,XLK,XLE","XLU,XLV,XLB","XLC,XLK,XLP","XLU,XLV,XLRE","XLC,XLK,XLE","XLU,XLV,XLB","XLK,XLC,XLE","XLV,XLI,XLU","XLC,XLP,XLK","XLU,XLI,XLF","XLC,XLY,XLK","XLV,XLB,XLU","XLC,XLK,XLY","XLU,XLB,XLI","XLY,XLC,XLK","XLU,XLV,XLP","XLC,XLY,XLE","XLU,XLV,XLP","XLC,XLY,XLK","XLU,XLV,XLP","XLC,XLY,XLE","XLU,XLV,XLP","XLY,XLC,XLK","XLU,XLV,XLRE","XLC,XLY,XLB",,,"XLU,XLV,XLP","XLC,XLY,XLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,"XLU,XLF,XLB","XLC,XLK,XLRE","XLU,XLI,XLF","XLE,XLC,XLRE","XLU,XLB,XLV","XLE,XLC,XLY","XLU,XLV,XLRE","XLC,XLK,XLE","XLU,XLB,XLV","XLC,XLK,XLE","XLU,XLV,XLRE","XLC,XLK,XLE","XLU,XLV,XLB","XLK,XLC,XLE","XLV,XLI,XLU","XLC,XLP,XLK","XLU,XLV,XLF","XLC,XLK,XLE","XLV,XLB,XLU","XLC,XLK,XLY","XLU,XLB,XLI","XLY,XLC,XLK","XLU,XLV,XLP","XLC,XLY,XLE","XLU,XLF,XLI","XLC,XLY,XLK","XLU,XLV,XLP","XLC,XLY,XLE","XLU,XLV,XLP","XLY,XLC,XLK","XLU,XLV,XLRE","XLC,XLY,XLB","XLU,XLV,XLP","XLC,XLY,XLK","XLU,XLV,XLP","XLC,XLY,XLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
