timestamp,factor,MSFT,AAPL,XOM,JPM,JNJ,CAT,PG,AMZN,ECL,NEE,PLD,GOOGL
2005-01-03,SPY,,,,,,,,,,,,
2005-01-03,XLK,,,,,,,,,,,,
2005-01-03,XLF,,,,,,,,,,,,
2005-01-03,XLV,,,,,,,,,,,,
2005-01-03,XLE,,,,,,,,,,,,
2005-01-03,XLI,,,,,,,,,,,,
2005-01-03,XLP,,,,,,,,,,,,
2005-01-03,XLY,,,,,,,,,,,,
2005-01-03,XLB,,,,,,,,,,,,
2005-01-03,XLU,,,,,,,,,,,,
2005-01-04,SPY,,,,,,,,,,,,
2005-01-04,XLK,,,,,,,,,,,,
2005-01-04,XLF,,,,,,,,,,,,
2005-01-04,XLV,,,,,,,,,,,,
2005-01-04,XLE,,,,,,,,,,,,
2005-01-04,XLI,,,,,,,,,,,,
2005-01-04,XLP,,,,,,,,,,,,
2005-01-04,XLY,,,,,,,,,,,,
2005-01-04,XLB,,,,,,,,,,,,
2005-01-04,XLU,,,,,,,,,,,,
2005-01-05,SPY,,,,,,,,,,,,
2005-01-05,XLK,,,,,,,,,,,,
2005-01-05,XLF,,,,,,,,,,,,
2005-01-05,XLV,,,,,,,,,,,,
2005-01-05,XLE,,,,,,,,,,,,
2005-01-05,XLI,,,,,,,,,,,,
2005-01-05,XLP,,,,,,,,,,,,
2005-01-05,XLY,,,,,,,,,,,,
2005-01-05,XLB,,,,,,,,,,,,
2005-01-05,XLU,,,,,,,,,,,,
2005-01-06,SPY,,,,,,,,,,,,
2005-01-06,XLK,,,,,,,,,,,,
2005-01-06,XLF,,,,,,,,,,,,
2005-01-06,XLV,,,,,,,,,,,,
2005-01-06,XLE,,,,,,,,,,,,
2005-01-06,XLI,,,,,,,,,,,,
2005-01-06,XLP,,,,,,,,,,,,
2005-01-06,XLY,,,,,,,,,,,,
2005-01-06,XLB,,,,,,,,,,,,
2005-01-06,XLU,,,,,,,,,,,,
2005-01-07,SPY,,,,,,,,,,,,
2005-01-07,XLK,,,,,,,,,,,,
2005-01-07,XLF,,,,,,,,,,,,
2005-01-07,XLV,,,,,,,,,,,,
2005-01-07,XLE,,,,,,,,,,,,
2005-01-07,XLI,,,,,,,,,,,,
2005-01-07,XLP,,,,,,,,,,,,
2005-01-07,XLY,,,,,,,,,,,,
2005-01-07,XLB,,,,,,,,,,,,
2005-01-07,XLU,,,,,,,,,,,,
2005-01-10,SPY,,,,,,,,,,,,
2005-01-10,XLK,,,,,,,,,,,,
2005-01-10,XLF,,,,,,,,,,,,
2005-01-10,XLV,,,,,,,,,,,,
2005-01-10,XLE,,,,,,,,,,,,
2005-01-10,XLI,,,,,,,,,,,,
2005-01-10,XLP,,,,,,,,,,,,
2005-01-10,XLY,,,,,,,,,,,,
2005-01-10,XLB,,,,,,,,,,,,
2005-01-10,XLU,,,,,,,,,,,,
2005-01-11,SPY,,,,,,,,,,,,
2005-01-11,XLK,,,,,,,,,,,,
2005-01-11,XLF,,,,,,,,,,,,
2005-01-11,XLV,,,,,,,,,,,,
2005-01-11,XLE,,,,,,,,,,,,
2005-01-11,XLI,,,,,,,,,,,,
2005-01-11,XLP,,,,,,,,,,,,
2005-01-11,XLY,,,,,,,,,,,,
2005-01-11,XLB,,,,,,,,,,,,
2005-01-11,XLU,,,,,,,,,,,,
2005-01-12,SPY,,,,,,,,,,,,
2005-01-12,XLK,,,,,,,,,,,,
2005-01-12,XLF,,,,,,,,,,,,
2005-01-12,XLV,,,,,,,,,,,,
2005-01-12,XLE,,,,,,,,,,,,
2005-01-12,XLI,,,,,,,,,,,,
2005-01-12,XLP,,,,,,,,,,,,
2005-01-12,XLY,,,,,,,,,,,,
2005-01-12,XLB,,,,,,,,,,,,
2005-01-12,XLU,,,,,,,,,,,,
2005-01-13,SPY,,,,,,,,,,,,
2005-01-13,XLK,,,,,,,,,,,,
2005-01-13,XLF,,,,,,,,,,,,
2005-01-13,XLV,,,,,,,,,,,,
2005-01-13,XLE,,,,,,,,,,,,
2005-01-13,XLI,,,,,,,,,,,,
2005-01-13,XLP,,,,,,,,,,,,
2005-01-13,XLY,,,,,,,,,,,,
2005-01-13,XLB,,,,,,,,,,,,
2005-01-13,XLU,,,,,,,,,,,,
