portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.2780287706243685
XLK_short,XLK,-1.0
XLK_short,SPY,1.2780287706243685
XLF_long,XLF,1.0
XLF_long,SPY,-0.7815242002475391
XLF_short,XLF,-1.0
XLF_short,SPY,0.7815242002475391
XLV_long,XLV,1.0
XLV_long,SPY,-0.45720289911079665
XLV_short,XLV,-1.0
XLV_short,SPY,0.45720289911079665
XLY_long,XLY,1.0
XLY_long,SPY,-1.088225645291032
XLY_short,XLY,-1.0
XLY_short,SPY,1.088225645291032
XLP_long,XLP,1.0
XLP_long,SPY,-0.3015001327604957
XLP_short,XLP,-1.0
XLP_short,SPY,0.3015001327604957
XLE_long,XLE,1.0
XLE_long,SPY,-0.854490600679466
XLE_short,XLE,-1.0
XLE_short,SPY,0.854490600679466
XLI_long,XLI,1.0
XLI_long,SPY,-0.8619316153133296
XLI_short,XLI,-1.0
XLI_short,SPY,0.8619316153133296
XLB_long,XLB,1.0
XLB_long,SPY,-0.8386960425904407
XLB_short,XLB,-1.0
XLB_short,SPY,0.8386960425904407
XLU_long,XLU,1.0
XLU_long,SPY,-0.3860395256717475
XLU_short,XLU,-1.0
XLU_short,SPY,0.3860395256717475
XLC_long,XLC,1.0
XLC_long,SPY,-0.8779907141375904
XLC_short,XLC,-1.0
XLC_short,SPY,0.8779907141375904
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.5694672647350686
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.5694672647350686
